iu_ac,libelle,t_1h,q,k,etat_trafic,iu_nd_amont,libelle_nd_amont,iu_nd_aval,libelle_nd_aval,etat_barre,date_debut,date_fin,geo_point_2d.lon,geo_point_2d.lat,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type,geo_point_2d,geo_shape
1978,4_Septembre,2024-01-04T19:00:00+00:00,749.0,9.99167,Fluide,2149,4_Septembre-Richelieu,2150,4_Septembre-Bourse-Vivienne,Invalide,1996-10-03,2023-01-01,2.3393194642294763,48.869034711790604,Feature,"[[2.3386088501499116, 48.86917459863191], [2.340030078309041, 48.8688948249493]]",LineString,,
1978,4_Septembre,2024-01-04T17:00:00+00:00,712.0,11.07278,Fluide,2149,4_Septembre-Richelieu,2150,4_Septembre-Bourse-Vivienne,Invalide,1996-10-03,2023-01-01,2.3393194642294763,48.869034711790604,Feature,"[[2.3386088501499116, 48.86917459863191], [2.340030078309041, 48.8688948249493]]",LineString,,
1978,4_Septembre,2024-01-04T16:00:00+00:00,698.0,10.70722,Fluide,2149,4_Septembre-Richelieu,2150,4_Septembre-Bourse-Vivienne,Invalide,1996-10-03,2023-01-01,2.3393194642294763,48.869034711790604,Feature,"[[2.3386088501499116, 48.86917459863191], [2.340030078309041, 48.8688948249493]]",LineString,,
1965,Pl_de_la_Bourse_cote_Reaumur,2024-01-04T19:00:00+00:00,749.0,9.99167,Fluide,2150,4_Septembre-Bourse-Vivienne,2152,Pl_Bourse-Reaumur-N_D_Victoires,Invalide,1996-10-03,2023-01-01,2.3409534678775383,48.86871495059633,Feature,"[[2.340030078309041, 48.8688948249493], [2.341876857446035, 48.86853507624336]]",LineString,,
1965,Pl_de_la_Bourse_cote_Reaumur,2024-01-04T18:00:00+00:00,682.0,9.1,Fluide,2150,4_Septembre-Bourse-Vivienne,2152,Pl_Bourse-Reaumur-N_D_Victoires,Invalide,1996-10-03,2023-01-01,2.3409534678775383,48.86871495059633,Feature,"[[2.340030078309041, 48.8688948249493], [2.341876857446035, 48.86853507624336]]",LineString,,
1965,Pl_de_la_Bourse_cote_Reaumur,2024-01-04T17:00:00+00:00,712.0,11.07278,Fluide,2150,4_Septembre-Bourse-Vivienne,2152,Pl_Bourse-Reaumur-N_D_Victoires,Invalide,1996-10-03,2023-01-01,2.3409534678775383,48.86871495059633,Feature,"[[2.340030078309041, 48.8688948249493], [2.341876857446035, 48.86853507624336]]",LineString,,
1965,Pl_de_la_Bourse_cote_Reaumur,2024-01-04T15:00:00+00:00,703.0,10.65167,Fluide,2150,4_Septembre-Bourse-Vivienne,2152,Pl_Bourse-Reaumur-N_D_Victoires,Invalide,1996-10-03,2023-01-01,2.3409534678775383,48.86871495059633,Feature,"[[2.340030078309041, 48.8688948249493], [2.341876857446035, 48.86853507624336]]",LineString,,
1979,Reaumur,2024-01-04T23:00:00+00:00,513.0,6.32667,Fluide,2152,Pl_Bourse-Reaumur-N_D_Victoires,2153,Reaumur-Montmartre,Invalide,1996-10-03,2023-01-01,2.342738238722835,48.868353215314855,Feature,"[[2.341876857446035, 48.86853507624336], [2.3435996199996345, 48.86817135438635]]",LineString,,
1979,Reaumur,2024-01-04T21:00:00+00:00,461.0,6.73889,Fluide,2152,Pl_Bourse-Reaumur-N_D_Victoires,2153,Reaumur-Montmartre,Invalide,1996-10-03,2023-01-01,2.342738238722835,48.868353215314855,Feature,"[[2.341876857446035, 48.86853507624336], [2.3435996199996345, 48.86817135438635]]",LineString,,
1979,Reaumur,2024-01-04T16:00:00+00:00,698.0,10.70722,Fluide,2152,Pl_Bourse-Reaumur-N_D_Victoires,2153,Reaumur-Montmartre,Invalide,1996-10-03,2023-01-01,2.342738238722835,48.868353215314855,Feature,"[[2.341876857446035, 48.86853507624336], [2.3435996199996345, 48.86817135438635]]",LineString,,
